,generated question,gold question
0,"What is said to be the relation between the grotto and the grotto at lourdes, france?",to whom did the virgin mary allegedly appear in 1858 in lourdes france ?
1,What statue of Christ with arms upraised with the legend '' venite ad me omnes '' is immediately in front of the main building and facing it?,what is in front of the notre dame main building ?
2,What church is next to the main building?,the basilica of the sacred heart at notre dame is beside to which structure ?
3,What is the first structure mentioned above that is part of the grotto?,what is the grotto at notre dame ?
4,What statue of the Virgin Mary is on top of the main building?,what sits on top of the main building at notre dame ?
5,What date did the magazine first come out?,when did the scholastic magazine of notre dame begin publishing ?
6,What kind of magazine does the author say is the focus of the other magazine?,how often is notre dame 's the juggler published ?
7,What are the types of student-run outlets mentioned in the text?,what is the daily student paper at notre dame called ?
8,What are some types of student outlets that Notre Dame is referring to?,how many student news papers are found at notre dame ?
9,What was said to be one of the results of students showing partisanship?,in what year did the student paper common sense begin publication at notre dame ?
10,What church is the university part of?,where is the headquarters of the congregation of the holy cross ?
11,What may be the reason for the seminary being across from the main building?,what is the primary seminary of the congregation of the holy cross ?
12,What may be the reason for my interest in the church?,what is the oldest structure at notre dame ?
13,What are the colleges and schools for seniors?,what individuals live at fatima house at notre dame ?
14,What may be the reason for Buechner's praise for Notre dame and moreau seminary?,which prize did frederick buechner create ?
15,What are the colleges of engineering for?,how many bs level degrees are offered in the college of engineering at notre dame ?
16,What date did college of engineering start to become part of college of science,in what year was the college of engineering at notre dame formed ?
17,What date did college of engineering start to become part of college of science,before the creation of the college of engineering similar studies were carried out at which notre dame college ?
18,What are the colleges of engineering for?,how many departments are within the stinson-remick hall of engineering ?
19,What date did college of engineering start to become part of college of science,the college of science began to offer civil engineering courses beginning at what time at notre dame ?
20,What kind of learning center does the program include?,what entity provides help with the management of time for new students at notre dame ?
21,What are the college systems at Notre dame part of?,how many colleges for undergraduates are at notre dame ?
22,What was established first?,what was created at notre dame in 1962 to assist first year students ?
23,What was said previously about the first year of studies program?,which organization declared the first year of studies program at notre dame `` outstanding ? ''
24,What changed in 1924?,the granting of doctorate degrees first occurred in what year at notre dame ?
25,What kind of graduate program does the university offer?,what type of degree is an m.div .?
26,What kind of graduate program does the university offer?,which program at notre dame offers a master of education degree ?
27,What year did graduate studies first start to become available at the university?,in what year was a master of arts course first offered at notre dame ?
28,What are the types of programs for science degrees offered in the university?,which department at notre dame is the only one to not offer a phd program ?
29,What kind of studies does the institute serve?,what institute at notre dame studies the reasons for violent conflict ?
30,Who was the director of the institute for international peace studies?,what is the title of notre dame 's theodore hesburgh ?
31,Who founded the joan b. kroc institute for international peace studies at the university of notre dame?,in what year was the joan b. kroc institute for international peace studies founded ?
32,Who founded the joan b. kroc institute for international peace studies at the university of notre dame?,to whom was john b. kroc married ?
33,Who founded the joan b. kroc institute for international peace studies at the university of notre dame?,what company did ray kroc own ?
34,What was said to be the main building?,how many stories tall is the main library at notre dame ?
35,What was said to be the main building?,what is the name of the main library at notre dame ?
36,What was said to be the main building?,in what year was the theodore m. hesburgh library at notre dame finished ?
37,What mural is commonly known as touchdown jesus?,which artist created the mural on the theodore m. hesburgh library ?
38,What may be the reason for the mural being called touchdown jesus?,what is a common name to reference the mural created by millard sheets at notre dame ?
